Autolife — Price List (EUR)
# service | price | notes

# --- GENERAL MAINTENANCE (All Makes) ---
Safety Inspection (Basic) | 45 | 25-point visual check
Safety Inspection (Full) | 85 | 100-point check with report
Pre-Purchase Inspection | 130 | Detailed report + road test
Emissions Test | 40 | Official certification
Engine Oil Analysis | 65 | Lab report on engine wear
Winter Readiness Check | 55 | Battery, fluids, tires, wipers
Summer Prep Check | 55 | AC, cooling system, tires
Battery Health Test | 20 | Free if battery purchased here
Fluid Top-up Service | 15 | Washer fluid, coolant, power steering

# --- EUROPEAN BRANDS (VW, Skoda, Peugeot, Renault, Fiat, Opel) ---
Oil Change | 95 | 5W-30 Synthetic (up to 5L)
Brake Pads Front | 125 | OE-equivalent parts
Brake Pads Rear | 110 | OE-equivalent parts
Brake Discs Front | 270 | Pair, including labor
Brake Discs Rear | 230 | Pair, including labor
Timing Belt Kit | 480 | Includes tensioners
Water Pump (with belt) | 120 | Additional to timing belt
Clutch Kit | 650 | Manual 5/6 speed
Dual-Mass Flywheel | 550 | Parts only
Alternator | 320 | Rebuilt/New exchange
Starter Motor | 240 | Parts + Labor
Shock Absorber Front | 160 | Per side
Shock Absorber Rear | 130 | Per side
Wheel Bearing Front | 145 | Per side
Control Arm Front | 180 | Upper or Lower
Tie Rod End | 75 | Per side
Spark Plugs (4-cyl) | 80 | Platinum
Ignition Coil | 65 | Per cylinder
Fuel Filter (Diesel) | 60 |
Air Filter | 30 |
Cabin Filter (Carbon) | 35 |
Thermostat | 90 | Includes housing
Radiator | 280 | Parts + Labor
Wiper Blades | 45 | Set of 2 (Bosch/Valeo)
Diagnostic Scan | 45 | VAG/PSA/OBD2

# --- EUROPEAN PREMIUM (BMW, Mercedes, Audi, Volvo, Porsche, Land Rover) ---
Oil Change | 170 | 0W-30 Long-Life + OEM filter
Brake Pads Front | 220 | Low-dust ceramic
Brake Pads Rear | 190 | Low-dust ceramic
Brake Discs Front | 520 | High-carbon / Vented pair
Brake Discs Rear | 440 | Pair
Air Suspension Strut | 850 | Per side (OEM-spec)
Compressor (Air Susp) | 600 | Parts + Labor
Transmission Flush (ZF) | 480 | Full fluid exchange + filter
Spark Plugs (6-cyl) | 190 | Laser Iridium
Spark Plugs (8-cyl) | 260 | Laser Iridium
Ignition Coil | 95 | Per cylinder (Bosch/NGK)
Valve Cover Gasket | 350 | Includes specialized labor
Turbocharger Service | 1200+ | Subject to inspection
Fuel Injector (Diesel) | 380 | Per injector
Oxygen Sensor | 160 | Wideband sensors
AdBlue Pump | 450 |
NOX Sensor | 550 | Common for Euro 6 engines
Wheel Bearing | 240 | Press-in hub unit
Control Arm Kit Front | 750 | Full multi-link refresh
Drive Belt + Tensioner | 210 |
Water Pump (Electric) | 420 | Common on BMW/Audi
Steering Rack (Electronic) | 1500+ | Coding required
Sunroof Service | 110 | Cleaning + Lubrication
ECU Coding | 120 | Per module
Key Fob Programming | 150 | Plus cost of key

# --- JAPANESE BRANDS (Toyota, Honda, Mazda, Nissan, Subaru, Suzuki) ---
Oil Change | 85 | 0W-20 Synthetic
Brake Pads Front | 115 | Akebono or similar
